Time (EST),RA (Deg),Dec (Deg),Az (Deg),Alt (Deg),Distance (Km),Eclipse %
2025-01-02 13:50:00-05:00,105.3658709277727,0.5670730104413166,89.46054742520724,9.470842456584048,40859.27750024788,0%
2025-01-02 13:51:00-05:00,105.61461593890189,0.5657736104976576,89.46245472001792,9.47278993782991,40859.06938654153,0%
2025-01-02 13:52:00-05:00,105.86336082616926,0.5644635239251248,89.46437219035496,9.474737589215628,40858.86125869224,0%
2025-01-02 13:53:00-05:00,106.11210558931914,0.5631427753648919,89.46629980025668,9.476685410383757,40858.653116731824,0%
2025-01-02 13:54:00-05:00,106.36085022767072,0.561811389662311,89.46823751356511,9.478633401394719,40858.44496064733,0%
2025-01-02 13:55:00-05:00,106.6095947408774,0.5604693918615588,89.47018529393456,9.480581561978783,40858.23679046122,0%
2025-01-02 13:56:00-05:00,106.8583391285983,0.5591168072072582,89.4721431048289,9.482529891850662,40858.0286061975,0%
2025-01-02 13:57:00-05:00,107.10708339018078,0.5577536611461241,89.47411090951883,9.484478391039984,40857.82040784644,0%
2025-01-02 13:58:00-05:00,107.35582752541283,0.5563799793215147,89.47608867109057,9.486427059124564,40857.61219544667,0%
2025-01-02 13:59:00-05:00,107.60457153365276,0.5549957875786188,89.47807635243741,9.488375896112435,40857.40396899072,0%
2025-01-02 14:00:00-05:00,107.85331541470899,0.5536011119583534,89.48007391626956,9.490324901560838,40857.19572851935,0%
2025-01-02 14:01:00-05:00,108.10205916795374,0.5521959787024567,89.4820813251056,9.492274075454917,40856.987474027475,0%
2025-01-02 14:02:00-05:00,108.35080279321778,0.5507804142473779,89.48409854128255,9.494223417324394,40856.7792055587,0%
2025-01-02 14:03:00-05:00,108.59954628989121,0.5493544452294816,89.48612552694718,9.496172927129093,40856.57092311056,0%
2025-01-02 14:04:00-05:00,108.84828965781573,0.5479180984787421,89.48816224406603,9.498122604377784,40856.36262672894,0%
2025-01-02 14:05:00-05:00,109.09703289640049,0.5464714010241198,89.4902086544169,9.500072449011407,40856.15431641327,0%
2025-01-02 14:06:00-05:00,109.3457760054009,0.5450143800878545,89.49226471959769,9.50202246061915,40855.94599220072,0%
2025-01-02 14:07:00-05:00,109.59451898456325,0.5435470630872273,89.4943304010235,9.503972638792488,40855.7376541281,0%
2025-01-02 14:08:00-05:00,109.84326183334028,0.5420694776362266,89.49640565992405,9.505922983421316,40855.52930220036,0%
2025-01-02 14:09:00-05:00,110.09200455160293,0.5405816515397952,89.49849045735245,9.507873493968082,40855.320936468015,0%
2025-01-02 14:10:00-05:00,110.34074713881175,0.5390836127993748,89.50058475417657,9.509824170309246,40855.112556937354,0%
2025-01-02 14:11:00-05:00,110.58948959487064,0.5375753896062806,89.50268851108927,9.511775011867577,40854.90416366313,0%
2025-01-02 14:12:00-05:00,110.83823191925185,0.5360570103472536,89.50480168859963,9.513726018498538,40854.695756653775,0%
2025-01-02 14:13:00-05:00,111.0869741118754,0.5345285035978508,89.5069242470431,9.515677189609939,40854.48733596563,0%
2025-01-02 14:14:00-05:00,111.33571617222968,0.5329898981279863,89.50905614657286,9.517628525033365,40854.27890160954,0%
2025-01-02 14:15:00-05:00,111.5844581002581,0.5314412228952883,89.51119734717008,9.51958002414927,40854.07045364475,0%
2025-01-02 14:16:00-05:00,111.83319989546732,0.5298825070507169,89.51334780863505,9.521531686763666,40853.86199208484,0%
2025-01-02 14:17:00-05:00,112.08194155781267,0.5283137799317659,89.51550749059751,9.52348351224018,40853.653516990686,0%
2025-01-02 14:18:00-05:00,112.33068308681909,0.5267350710681892,89.51767635250789,9.525435500365427,40853.445028377915,0%
2025-01-02 14:19:00-05:00,112.57942448235384,0.525146410175996,89.51985435364648,9.527387650582714,40853.23652629884,0%
2025-01-02 14:20:00-05:00,112.82816574428598,0.5235478271591535,89.52204145312042,9.529339962331209,40853.02801080615,0%
2025-01-02 14:21:00-05:00,113.07690687217865,0.5219393521114915,89.52423760986115,9.531292435352597,40852.819481920196,0%
2025-01-02 14:22:00-05:00,113.32564786602042,0.5203210153105067,89.52644278263325,9.533245068964698,40852.61093970665,0%
2025-01-02 14:23:00-05:00,113.57438872539522,0.518692847223203,89.52865693002593,9.5351978628855,40852.40238418823,0%
2025-01-02 14:24:00-05:00,113.82312945031241,0.517054878499116,89.53088001046324,9.537150816401557,40852.19381543394,0%
2025-01-02 14:25:00-05:00,114.07187004037522,0.5154071399761759,89.53311198219518,9.539103929211164,40851.98523346855,0%
2025-01-02 14:26:00-05:00,114.32061049560465,0.5137496626736351,89.53535280330827,9.541057200586641,40851.77663836247,0%
2025-01-02 14:27:00-05:00,114.56935081562358,0.5120824777980085,89.53760243171659,9.543010630201545,40851.56803014313,0%
2025-01-02 14:28:00-05:00,114.8180910004776,0.5104056167359025,89.53986082517228,9.544964217302427,40851.359408883625,0%
2025-01-02 14:29:00-05:00,115.0668310498043,0.5087191110600642,89.54212794125665,9.546917961538071,40851.15077461393,0%
2025-01-02 14:30:00-05:00,115.31557096355914,0.5070229925229911,89.54440373738935,9.548871862245592,40850.9421273974,0%
2025-01-02 14:31:00-05:00,115.56431074171924,0.5053172930587527,89.54668817082573,9.550825918732059,40850.73346730052,0%
2025-01-02 14:32:00-05:00,115.81305038393559,0.5036020447849632,89.54898119865379,9.552780130635673,40850.52479435438,0%
2025-01-02 14:33:00-05:00,116.06178989031659,0.5018772799963132,89.55128277780375,9.554734497127864,40850.3161086399,0%
2025-01-02 14:34:00-05:00,116.31052926053044,0.5001430311706175,89.55359286503875,9.556689017822572,40850.10741019067,0%
2025-01-02 14:35:00-05:00,116.55926849470131,0.49839933096156264,89.55591141696583,9.558643691879084,40849.898699088924,0%
2025-01-02 14:36:00-05:00,116.80800759251717,0.4966462122047574,89.5582383900266,9.56059851888864,40849.689975370624,0%
2025-01-02 14:37:00-05:00,117.05674655411364,0.49488370791037883,89.56057374050816,9.562553497989779,40849.481239120054,0%
2025-01-02 14:38:00-05:00,117.30548537920855,0.4931118512693598,89.56291742453392,9.564508628745159,40849.27249037625,0%
2025-01-02 14:39:00-05:00,117.55422406795144,0.4913306756459287,89.5652693980743,9.566463910278173,40849.06372922508,0%
2025-01-02 14:40:00-05:00,117.80296262007663,0.48954021458379604,89.56762961693768,9.568419342131268,40848.85495570763,0%
2025-01-02 14:41:00-05:00,118.05170103575321,0.48774050179871553,89.56999803678119,9.570374923408364,40848.64616991182,0%
2025-01-02 14:42:00-05:00,118.30043931473453,0.4859315711846813,89.57237461310157,9.57233065362449,40848.43737188159,0%
2025-01-02 14:43:00-05:00,118.54917745710426,0.48411345680731355,89.57475930124465,9.574286531970776,40848.2285616955,0%
2025-01-02 14:44:00-05:00,118.79791546294862,0.482286192905695,89.57715205640262,9.576242557628445,40848.019739433126,0%
2025-01-02 14:45:00-05:00,119.04665333205305,0.4804498138944662,89.57955283361095,9.57819873008505,40847.81090514123,0%
2025-01-02 14:46:00-05:00,119.29539106462877,0.4786043543569657,89.58196158775806,9.580155048393785,40847.60205891308,0%
2025-01-02 14:47:00-05:00,119.54412866047869,0.47674984905167944,89.58437827357616,9.582111512019239,40847.393200797786,0%
2025-01-02 14:48:00-05:00,119.79286611983565,0.4748863329044865,89.58680284565214,9.584068119997866,40847.18433089038,0%
2025-01-02 14:49:00-05:00,120.04160344251771,0.4730138410150542,89.58923525841828,9.586024871774994,40846.97544924198,0%
2025-01-02 14:50:00-05:00,120.29034062877444,0.4711324086491598,89.5916754661633,9.58798176637044,40846.76655594932,0%
2025-01-02 14:51:00-05:00,120.53907767844812,0.4692420712450434,89.59412342302309,9.589938803202802,40846.55765106635,0%
2025-01-02 14:52:00-05:00,120.78781459180384,0.4673428644056944,89.59657908299162,9.591895981271225,40846.3487346919,0%
2025-01-02 14:53:00-05:00,121.03655136870222,0.46543482390527663,89.59904239991177,9.593853299981657,40846.139806881285,0%
2025-01-02 14:54:00-05:00,121.28528800942709,0.46351798568130964,89.6015133274862,9.595810758313565,40845.93086773532,0%
2025-01-02 14:55:00-05:00,121.53402451385118,0.4615923858411628,89.60399181926822,9.597768355653477,40845.721917311384,0%
2025-01-02 14:56:00-05:00,121.78276088218416,0.45965806065509374,89.6064778286715,9.599726091058288,40845.51295570195,0%
2025-01-02 14:57:00-05:00,122.03149711463062,0.45771504655820927,89.60897130896714,9.601683963583406,40845.30398299974,0%
2025-01-02 14:58:00-05:00,122.28023321108878,0.45576338015263274,89.61147221328058,9.603641972596746,40845.094999263914,0%
2025-01-02 14:59:00-05:00,122.52896917190063,0.4538030982002816,89.61398049460166,9.605600117014681,40844.88600460205,0%
2025-01-02 15:00:00-05:00,122.77770499697975,0.4518342376296216,89.61649610577511,9.607558396185604,40844.67699907526,0%
2025-01-02 15:01:00-05:00,123.02644068668604,0.44985683552752737,89.61901899951172,9.609516809014515,40844.46798279228,0%
2025-01-02 15:02:00-05:00,123.27517624094953,0.4478709291460394,89.62154912837896,9.611475354830793,40844.25895581633,0%
2025-01-02 15:03:00-05:00,123.52391166014918,0.4458765558941791,89.62408644481218,9.61343403252158,40844.04991825791,0%
2025-01-02 15:04:00-05:00,123.77264694423474,0.4438737533447709,89.62663090110514,9.615392841395675,40843.840870182394,0%
2025-01-02 15:05:00-05:00,124.02138209360243,0.44186255922615864,89.62918244942132,9.61735178031937,40843.63181170244,0%
2025-01-02 15:06:00-05:00,124.27011710822227,0.4398430114290959,89.6317410417844,9.619310848587988,40843.422742884824,0%
2025-01-02 15:07:00-05:00,124.51885198839793,0.43781514799938126,89.63430663008823,9.62127004515979,40843.21366383233,0%
