Time (EST),RA (Deg),Dec (Deg),Az (Deg),Alt (Deg),Distance (Km),Radiant Flux (W),Counts,Airmass
2024-08-22 15:41:24.500000-04:00,38.30736719041411,9.650335594861469,324.6200169120684,-34.42281205054085,7925.4334008093865,0.0,0.0,-1.7688387179016782
2024-08-22 15:41:25-04:00,38.3312754273494,9.653397427280062,324.5985093899819,-34.41027096826892,7923.314044050497,0.0,0.0,-1.769401413772729
2024-08-22 15:41:25.500000-04:00,38.35519131005155,9.656448514363289,324.57699542183735,-34.39773119719953,7921.194676124313,0.0,0.0,-1.7699644924428906
2024-08-22 15:41:26-04:00,38.37911483946721,9.659488846284441,324.55547499929105,-34.38519273938549,7919.075297648755,0.0,0.0,-1.7705279541545011
2024-08-22 15:41:26.500000-04:00,38.40304601653724,9.66251841320953,324.53394811399534,-34.37265559688125,7916.955909242135,0.0,0.0,-1.7710917991499429
2024-08-22 15:41:27-04:00,38.426984842195196,9.665537205296628,324.5124147576033,-34.36011977174548,7914.836511523582,0.0,0.0,-1.7716560276715176
2024-08-22 15:41:27.500000-04:00,38.450931317371406,9.668545212696744,324.4908749217636,-34.34758526603794,7912.717105112559,0.0,0.0,-1.7722206399615916
2024-08-22 15:41:28-04:00,38.47488544298735,9.671542425554009,324.4693285981158,-34.33505208181749,7910.597690628467,0.0,0.0,-1.7727856362626868
2024-08-22 15:41:28.500000-04:00,38.498847219957796,9.67452883400416,324.4477757783054,-34.32252022114982,7908.478268691963,0.0,0.0,-1.773351016817124
2024-08-22 15:41:29-04:00,38.5228166491936,9.677504428176219,324.42621645396946,-34.309989686099726,7906.358839923708,0.0,0.0,-1.7739167818673787
2024-08-22 15:41:29.500000-04:00,38.54679373159995,9.680469198191519,324.404650616744,-34.29746047873534,7904.239404945024,0.0,0.0,-1.7744829316558872
2024-08-22 15:41:30-04:00,38.570778468069335,9.683423134164146,324.3830782582607,-34.28493260112602,7902.119964377553,0.0,0.0,-1.7750494664251406
2024-08-22 15:41:30.500000-04:00,38.59477085949559,9.686366226200803,324.3614993701482,-34.27240605534342,7900.0005188434425,0.0,0.0,-1.7756163864176355
2024-08-22 15:41:31-04:00,38.61877090676531,9.689298464400856,324.3399139440316,-34.259880843460884,7897.881068965246,0.0,0.0,-1.776183691875901
2024-08-22 15:41:31.500000-04:00,38.64277861075144,9.692219838855639,324.31832197153767,-34.247356967556634,7895.761615366444,0.0,0.0,-1.776751383042358
2024-08-22 15:41:32-04:00,38.66679397233051,9.695130339650381,324.2967234442805,-34.23483442970545,7893.642158670066,0.0,0.0,-1.7773194601596878
2024-08-22 15:41:32.500000-04:00,38.690816992366784,9.698029956861669,324.27511835388015,-34.22231323198953,7891.522699500505,0.0,0.0,-1.7778879234703477
2024-08-22 15:41:33-04:00,38.71484767171912,9.700918680559449,324.25350669194825,-34.20979337649,7889.403238482077,0.0,0.0,-1.7784567732169494
2024-08-22 15:41:33.500000-04:00,38.73888601123872,9.703796500805675,324.23188845009804,-34.1972748652928,7887.28377624004,0.0,0.0,-1.779026009641994
2024-08-22 15:41:34-04:00,38.7629320117772,9.706663407655574,324.2102636199344,-34.18475770048293,7885.1643133996095,0.0,0.0,-1.7795956329881328
2024-08-22 15:41:34.500000-04:00,38.78698567416911,9.70951939115659,324.18863219306166,-34.17224188414922,7883.044850586748,0.0,0.0,-1.7801656434979514
2024-08-22 15:41:35-04:00,38.81104699925119,9.71236444134892,324.16699416108037,-34.15972741838198,7880.9253884277805,0.0,0.0,-1.7807360414140685
2024-08-22 15:41:35.500000-04:00,38.83511598784906,9.715198548265082,324.14534951559057,-34.14721430527519,7878.805927549784,0.0,0.0,-1.7813068269790497
2024-08-22 15:41:36-04:00,38.85919264078786,9.718021701930724,324.123698248185,-34.13470254692252,7876.686468579898,0.0,0.0,-1.781878000435574
2024-08-22 15:41:36.500000-04:00,38.88327695887676,9.720833892363718,324.10204035045575,-34.122192145421266,7874.567012145966,0.0,0.0,-1.7824495620262613
2024-08-22 15:41:37-04:00,38.90736894292587,9.723635109574595,324.08037581399196,-34.10968310287095,7872.44755887633,0.0,0.0,-1.7830215119937365
2024-08-22 15:41:37.500000-04:00,38.93146859373885,9.726425343566863,324.0587046303769,-34.09717542137156,7870.32810939953,0.0,0.0,-1.7835938505807054
2024-08-22 15:41:38-04:00,38.955575912110135,9.729204584335942,324.0370267911963,-34.08466910302847,7868.20866434513,0.0,0.0,-1.7841665780297304
